label_file,source_split
od_VID_20231011_143828_mp4-22_jpg.rf.8f47d5c3b8a19a0f5ce09aff445007fb.txt,train
od_VID_20231011_135619_mp4-40_jpg.rf.84fe0beb22107afe3875cca1f8c8a9ad.txt,train
od_VID_20231011_140608_mp4-24_jpg.rf.97ed72581cece6f4192686c2851d138c.txt,valid
od_VID_20231010_140102_mp4-1_jpg.rf.824f2528694f64aee86848f3cd1b84b8.txt,train
od_VID_20231011_140516_mp4-4_jpg.rf.bbdbdab395b25c57f3b3810b3808fbde.txt,train
od_VID_20231011_135944_mp4-50_jpg.rf.c2d16595e1d4f675cf6c13e5d04b5b1f.txt,train
od_VID_20231011_135819_mp4-36_jpg.rf.27a94fe50906f968814b29c72674a04c.txt,train
od_VID_20231011_140902_mp4-16_jpg.rf.e4c7b4c47fafaf0e8a1a6a819400ebb4.txt,train
od_VID_20231011_135619_mp4-27_jpg.rf.294befaa530bdbe0b3508bb45ec5eadf.txt,train
od_VID_20231011_135819_mp4-0_jpg.rf.e4372d6d5111429fd5a92a2e8e3e8e7a.txt,train
od_VID_20230607_144001_mp4-3_jpg.rf.2a8c8c7da0daf813cad118db9fb91c4a.txt,train
od_VID_20231012_184336_mp4-31_jpg.rf.bf4f4272c38f90f70c627719a844c12d.txt,train
od_VID_20231011_135525_mp4-28_jpg.rf.dc04bb454778c98bb34dd0ab64e9a0f4.txt,train
od_VID_20231012_182803_mp4-49_jpg.rf.1bde765f97c17db7e8f6e853b6e71b8c.txt,train
od_VID_20231010_140102_mp4-144_jpg.rf.23e5de22fa76b3f0d5b20a0805266890.txt,train
od_VID_20231011_140608_mp4-27_jpg.rf.ce4b7237e3e4d4c255d55023794e4b28.txt,train
od_VID_20230628_174117_mp4-5_jpg.rf.a31a0f90441bd164035547556f93f9d8.txt,train
od_VID_20231012_184918_mp4-8_jpg.rf.b53c7d15047f14b0e563b2615789c897.txt,train
od_VID_20231011_142737_mp4-12_jpg.rf.ef134ea45f6551a679d6dd0bf5a17220.txt,train
od_VID_20231011_135944_mp4-3_jpg.rf.24a42e82a39dd34d82cc58bae8d761ce.txt,train
od_VID_20230610_181627_mp4-9_jpg.rf.db52370c035701a40b9f82f89288d4a1.txt,train
od_VID_20231011_135619_mp4-37_jpg.rf.61fad61d5907328641ddd3ffebccc043.txt,train
od_VID_20230607_144001_mp4-4_jpg.rf.c829b765eea3ea618a98511881687871.txt,train
od_VID_20231011_135944_mp4-16_jpg.rf.005eec39f56d65b3397fcad3924b1e81.txt,train
od_VID_20231011_143923_mp4-19_jpg.rf.feeeb6c2d7f2cccdd435dfdb129415a7.txt,train
od_VID_20231011_135525_mp4-4_jpg.rf.028dd33d3fcfe9bbc80554b34eb5a852.txt,train
od_VID_20231011_135525_mp4-31_jpg.rf.d7b4664f62f2ef36380620b6d9e7c99d.txt,train
od_VID_20231011_135619_mp4-3_jpg.rf.5dfd90d5e014ca4eb09e2c153bf6477a.txt,train
od_VID_20231011_140935_mp4-6_jpg.rf.70744ba0cdac5c23269fbaa00f67411d.txt,train
od_VID_20231011_143213_mp4-26_jpg.rf.67347bcfe887b66a13c0ceeb1177fab1.txt,train
od_VID_20231011_135525_mp4-30_jpg.rf.dd6a7d3da787476483f0ea37d44aaec9.txt,train
od_VID_20230628_174117_mp4-1_jpg.rf.626a82aed6d2b1abb63688e78748b45c.txt,train
od_VID_20230610_181627_mp4-27_jpg.rf.f2693dc1ffc92a8ac9b8791e515f1c9b.txt,train
od_VID_20230610_181728_mp4-0_jpg.rf.f13ecf65452618df34946ebdde88f9ec.txt,train
od_VID_20231011_135619_mp4-9_jpg.rf.6c41fb5ee48dfa845e466b7b4924db31.txt,train
od_VID_20231012_182919_mp4-8_jpg.rf.15bb1ecdee954fd1fd37277d3634d978.txt,train
od_VID_20231010_140102_mp4-130_jpg.rf.9971a4d566ff70a2a841ba2cd7f0c7e2.txt,train
od_VID_20231011_143923_mp4-20_jpg.rf.f14f2f79c90c814a8c2e3d1e90854a4d.txt,train
od_VID_20231011_135619_mp4-20_jpg.rf.4e78ec48b3cf3a881c2dcf40d95dc364.txt,train
od_VID_20231011_135525_mp4-15_jpg.rf.ca9aaa694a5601673f2052ba21add9be.txt,train
od_VID_20230607_144001_mp4-10_jpg.rf.676667710b734ac0e86306bf9cc3de13.txt,train
od_VID_20231011_135819_mp4-39_jpg.rf.ea11b4c070caf719a18ca4ff5b05ec9e.txt,train
od_VID_20231011_140807_mp4-19_jpg.rf.71f76a660abaee52616d8513c7504bf6.txt,train
od_VID_20230610_181627_mp4-17_jpg.rf.0e7ea30916e140412a75b50ea55651c9.txt,train
od_VID_20231011_143828_mp4-5_jpg.rf.f9d3b873d8731e14e3274643b9f88cfe.txt,train
od_VID_20231011_135944_mp4-2_jpg.rf.ecfeae9ae5ea8082b367c8dc50d897fe.txt,train
od_VID_20231012_182919_mp4-10_jpg.rf.9b24c9618e92adcabb9a23d605fc02d7.txt,valid
od_VID_20230610_181728_mp4-2_jpg.rf.b5a8c0e95ca0e155228b4bf15d6ec63e.txt,train
od_VID_20231012_183030_mp4-31_jpg.rf.b7a7ad99abaaba2fbbc7b0e7eb0c7ba4.txt,train
od_VID_20231012_184918_mp4-7_jpg.rf.214e4afd0118d020c36dbb558e647ffb.txt,train
od_VID_20231010_140102_mp4-73_jpg.rf.15c98732603b270e6b5bd692148390ca.txt,train
od_VID_20231011_135619_mp4-25_jpg.rf.959ca8e46c9def3c22c738b013f7a3ae.txt,train
od_VID_20231010_140102_mp4-48_jpg.rf.bf227655b20979d2e574cd8e434b5062.txt,train
od_VID_20231012_184336_mp4-35_jpg.rf.005b38fbd4aa4ad8d732fe1c8cc4d729.txt,train
od_VID_20230610_185607_mp4-13_jpg.rf.5ef4a51d22f9a69534579b19f2e65611.txt,train
od_VID_20231010_140102_mp4-104_jpg.rf.2e057f51cacbd236a90b2725c2511451.txt,train
od_VID_20231011_135525_mp4-9_jpg.rf.d5930255046804804fc2e4ca64343867.txt,valid
od_VID_20231010_140102_mp4-79_jpg.rf.ada99cb46378ac61898cdc317033c008.txt,train
od_VID_20231011_143828_mp4-29_jpg.rf.365e9895131f62f5fbd2c1a0c792268e.txt,train
od_VID_20231011_135944_mp4-49_jpg.rf.aac26c66e9dc75d58b132a97b922e09e.txt,train
od_VID_20231010_140102_mp4-125_jpg.rf.78784c19b1b6177c848a0f15022f40ef.txt,train
ur_vlcsnap-2025-02-20-10h53m02s051_png.rf.33766b69e91d8aa36c293f5f225446e2.txt,valid
od_VID_20231011_135819_mp4-49_jpg.rf.505202a9f10b02069bec79c3205a3591.txt,train
